match_no,batting_team,batting_side,overs,runs,"bowler_to_batsman, runs",commentary,numerical_runs,bowler,batsman,preprocessed_commentary
7,SL,2,11.6,4,"M Nabi to Gunathilaka, FOUR runs","Dropped!! What a let off for Sri Lanka and Gunathilaka! Is he having a case of the Mendis's today? This was a top edge on another sweep, and it goes over the keeper's head but straight to fine leg coming in. But he gets nowhere near it, as the ball goes straight through his hands on to his chest, and then deflects to the ropes to add salt in the wounds.",4,M Nabi,Gunathilaka,"['drop', 'let', 'sri', 'lanka', 'gunathilaka', 'case', 'medic', 'today', 'thi', 'wa', 'top', 'edg', 'anoth', 'sweep', 'goe', 'keeper', 'head', 'straight', 'fine', 'leg', 'come', 'get', 'nowher', 'near', 'ball', 'goe', 'straight', 'hi', 'hand', 'hi', 'chest', 'deflect', 'rope', 'add', 'salt', 'wound']"
7,SL,2,12.1,0,"Rashid Khan to Shanaka, no run","Rashid traps Shanaka in front! But the Sri Lankan skipper has reviewed. His only hope is that this is hitting outside the line. And it indeed is hitting outside, quality review. This was the googly, pitching outside off and striking the batter on the front pad as he looks to flick it.",0,Rashid Khan,Shanaka,"['wash', 'trap', 'shank', 'front', 'skipper', 'ha', 'review', 'hi', 'onli', 'hope', 'thi', 'hit', 'outsid', 'line', 'inde', 'hit', 'outsid', 'qualiti', 'review', 'thi', 'wa', 'googli', 'pitch', 'outsid', 'strike', 'batter', 'front', 'pad', 'look', 'flick']"
7,SL,2,12.2,4,"Rashid Khan to Shanaka, FOUR runs",Swept to deep backward square leg for four! Great shot taking this from outside off.,4,Rashid Khan,Shanaka,"['swept', 'deep', 'backward', 'squar', 'leg', 'great', 'shot', 'take', 'thi', 'outsid']"
7,SL,2,12.3,1,"Rashid Khan to Shanaka, 1 run","length on the stumps, nudged in front of square on the onside",1,Rashid Khan,Shanaka,"['length', 'stump', 'nudg', 'front', 'squar', 'onsid']"
7,SL,2,12.4,1,"Rashid Khan to Gunathilaka, 1 run","length ball, looks to drive this but gets an inside edge to short fine leg for one",1,Rashid Khan,Gunathilaka,"['length', 'ball', 'look', 'drive', 'thi', 'get', 'insid', 'edg', 'short', 'fine', 'leg']"
7,SL,2,12.5,1,"Rashid Khan to Shanaka, 1 run","length on the stumps, worked to long on for one",1,Rashid Khan,Shanaka,"['length', 'stump', 'work', 'long']"
7,SL,2,12.6,0,"Rashid Khan to Gunathilaka, no run","length on the stumps, looks to stay back and dab this square on the offside, but can't beat the infield",0,Rashid Khan,Gunathilaka,"['length', 'stump', 'look', 'stay', 'back', 'dab', 'thi', 'squar', 'offsid', 'ca', 'nt', 'beat', 'infield']"
7,SL,2,13.1,1,"M Nabi to Shanaka, 1 run","length on the stumps, worked towards square leg off the back foot",1,M Nabi,Shanaka,"['length', 'stump', 'work', 'toward', 'squar', 'leg', 'back', 'foot']"
7,SL,2,13.2,1,"M Nabi to Gunathilaka, 1 run","Makes room early, as the bowler looks to follow him. Still manages to smack this off the back foot towards long off, who makes ground to his right to collect",1,M Nabi,Gunathilaka,"['make', 'room', 'earli', 'bowler', 'look', 'follow', 'still', 'manag', 'smack', 'thi', 'back', 'foot', 'toward', 'long', 'make', 'ground', 'hi', 'right', 'collect']"
7,SL,2,13.3,1,"M Nabi to Shanaka, 1 run","length ball on the stumps, clipped towards square leg. They think about two but decide against.",1,M Nabi,Shanaka,"['length', 'ball', 'stump', 'clip', 'toward', 'squar', 'leg', 'think', 'decid']"
7,SL,2,13.4,6,"M Nabi to Gunathilaka, SIX runs","Short boundaries! This was pitched shorter and quicker, and Gunathilaka is able to get under it with his pull and safely clear the square leg boundary.",6,M Nabi,Gunathilaka,"['short', 'boundari', 'thi', 'wa', 'pitch', 'shorter', 'quicker', 'gunathilaka', 'abl', 'get', 'hi', 'pull', 'safe', 'clear', 'squar', 'leg', 'boundari']"
7,SL,2,13.5,1,"M Nabi to Gunathilaka, 1 run","fuller on off, driven down to long off",1,M Nabi,Gunathilaka,"['fuller', 'driven', 'long']"
7,SL,2,13.6,1,"M Nabi to Shanaka, 1 run","attempted yorker, taken on the full and driven to long off",1,M Nabi,Shanaka,"['attempt', 'yorker', 'taken', 'full', 'driven', 'long']"
7,SL,2,14.1,W,"Mujeeb to Shanaka, OUT","Brilliance on the boundary from Najeeb! This is a full toss that's absolutely creamed down the ground by Shanaka. It's hit flat and hard, but Najeeb balances himself on the line and takes it, with his back foot agonisingly close to the ropes. He's then about to go over so he pops it up, and takes it once coming back inside. And yes, the third umpire has given the all clear!",0,Mujeeb,Shanaka,"['brillianc', 'boundari', 'najeeb', 'thi', 'full', 'toss', 'absolut', 'cream', 'ground', 'shank', 'hit', 'flat', 'hard', 'najeeb', 'balanc', 'line', 'take', 'hi', 'back', 'foot', 'agonizingli', 'close', 'rope', 'go', 'pop', 'take', 'onc', 'come', 'back', 'insid', 'ye', 'third', 'umpir', 'ha', 'given', 'clear']"
7,SL,2,14.2,1,"Mujeeb to Rajapaksa, 1 run",comes down the track and flicks this in the air towards deep midwicket. On the bounce to the man.,1,Mujeeb,Rajapaksa,"['come', 'track', 'flick', 'thi', 'air', 'toward', 'deep', 'midwicket', 'bounc', 'man']"
7,SL,2,14.3,1w,"Mujeeb to Gunathilaka, 1 wide","fired down leg, clear wide.",1,Mujeeb,Gunathilaka,"['fire', 'leg', 'clear', 'wide']"
